Gene,Detection_Rate,Mean_Expression,Median_Expression
TK1,1,3.46591618626523,3.64846544302731
TK2,1,3.97325606831202,4.09929520433778
TKT,1,6.20743152103066,6.44426950241348
TKTL1,0.940928270042194,0.635547203044956,0.367371065648529
TKTL2,0.69620253164557,0.0583482628202897,0.0285691521967709
TLCD1,1,3.38073183567205,3.48284828306847
TLCD2,0.962025316455696,0.633576434038083,0.505890929729957
TLDC1,1,2.12902164893118,2.17312743348066
TLDC2,0.991561181434599,0.774531314897045,0.7311832415722
TLE1,1,4.07101942719232,4.2861418728343
TLE1P1,0.843881856540084,0.733926125611581,0.687060688339892
TLE2,1,4.99271873274694,5.10559427579519
TLE3,1,4.2093511486271,4.34056226902641
TLE4,1,2.72383265128779,2.63226821549951
TLE6,1,1.78185400455731,1.70487196445635
TLK1,1,2.97802709170932,2.93545974780529
TLK2,1,3.49963948461639,3.61353165291793
TLK2P1,0.805907172995781,0.0565742239837555,0.0426443374084937
TLL1,0.911392405063291,0.205942297956855,0.070389327891398
TLL2,0.9957805907173,0.82927922440896,0.650764559116902
TLN1,1,5.40607505363624,5.52950864107431
TLN2,1,2.7274293962354,2.66902676550963
TLR1,0.9957805907173,1.57342911706128,1.40599235967584
TLR10,0.974683544303798,0.580354330666048,0.464668267003444
TLR2,1,2.17383883513685,2.13750352374994
TLR3,1,0.979017320225647,0.863938450423972
TLR4,1,1.92856043706095,1.84799690655495
TLR5,0.9957805907173,1.03376507044523,0.871843648509318
TLR6,1,0.676876816240444,0.604071323668861
TLR7,1,1.10514597218665,0.933572638261024
TLR8,0.966244725738397,0.306240050201714,0.16349873228288
TLX1,0.818565400843882,0.586968964374065,0.124328135002202
TLX1NB,0.434599156118144,0.151399968077659,0
TLX2,0.928270042194093,0.60912385919318,0.344828496997441
TM2D1,1,4.39464595942867,4.88313201565728
TM2D2,1,4.71347927991784,4.90352037372338
TM2D3,1,4.76345059106159,5.10726939359255
TM4SF1,1,3.93753791996159,4.05398016818765
TM4SF18,1,1.79907285315264,1.84398384404833
TM4SF19-AS1,0.983122362869198,0.940204158781079,0.84799690655495
TM4SF20,0.704641350210971,0.0600601042223144,0.0285691521967709
TM6SF1,1,2.78246931066064,2.99095486039699
TM6SF2,0.987341772151899,1.40822091641784,1.26903314645524
TM7SF2,1,5.31358091364537,5.49153246180432
TM7SF3,1,4.09942043292811,4.1554254317472
TM9SF2,1,4.38263319307339,4.66562016406638
