Gene,Detection_Rate,Mean_Expression,Median_Expression
PPARGC1A,1,1.54703253866625,1.47114956468896
DDX25,1,0.857522484102558,0.763189919609528
CRYAB,1,7.12637013920637,7.11559737996291
DBX1,0.656716417910448,0.0752153375092829,0.029982859295922
HTATIP2,1,2.56685772058518,2.5276347180005
CTSC,1,2.20831929156696,2.09627692514739
CCDC34,1,2.27833238722179,2.27862369666278
ZBTB16,1,2.59751012067621,2.64750858821171
ELP4,1,0.908704559362783,0.880802947395798
ZPR1,1,3.2497212536383,3.24305965577947
MTCH2,1,5.21441376779263,5.23736633346224
FNBP4,1,3.12452822537188,3.06309734279777
TECTA,1,0.735025463791059,0.683875121652387
SC5D,1,2.78144817946609,2.7710714528621
CRTAM,0.970149253731343,0.270862598313834,0.17670559703383
JHY,1,0.892165696686006,0.834785492668826
B3GAT1,1,3.26089641355008,3.31634091374136
HSPA8,1,8.32786896694295,8.34157906406637
P2RX3,0.958955223880597,0.138185674409817,0.0646069159379519
VWA5A,1,3.03593073979638,3.08280449821463
DNAJC4,1,2.86812586997341,3.00770126361516
SIAE,1,2.44831462083947,2.44930985675997
SNX15,1,0.323219864646856,0.273515345387081
LPXN,1,3.16393710337121,3.15438868103349
DTX4,1,2.59479811484172,2.64306225985945
ATG2A,1,2.90435088139895,2.89545977424724
EHD1,1,3.31575329456021,3.30177156589677
OSBP,1,3.92589017476068,3.98819791745073
UNC93B1,1,3.5540371689779,3.62491970576069
PUS3,1,2.8711636356303,2.86086326254152
DCPS,1,1.90088160301837,1.88248639179402
KMT5B,1,2.78985864549793,2.7721494469895
FOXRED1,1,2.83260421095604,2.78783931685584
PPP6R3,1,3.58133387962068,3.51433576658506
NRXN2,1,3.3991932568628,3.43057208890201
MS4A6A,1,3.80200646684571,3.75379165936439
MS4A4A,1,3.25398939613302,3.15380490250542
ST3GAL4,1,2.63278524486584,2.63191408450591
CPT1A,1,3.32513568880505,3.34351388544161
CCND1,1,3.73659173646741,3.62642739361413
CCDC86,1,2.33736557477834,2.41814948230293
